날짜,채널,상품,수량,단가,매출
2026-08-29,인스타 공구,체험판,1,39000,40560
2026-08-29,오프라인,체험판,1,39000,39000
2026-08-29,스마트스토어,기본 세트,1,12000,13200
2026-08-29,쿠팡,선물 포장,1,39000,38610
2026-08-29,네이버 블로그,대용량,3,39000,113490
2026-08-29,네이버 블로그,체험판,1,12000,11640
2026-08-29,인스타 공구,리필 2개입,2,56000,116480
2026-08-29,쿠팡,체험판,1,24000,23760
2026-08-30,인스타 공구,기본 세트,1,24000,24960
2026-08-30,오프라인,대용량,1,12000,12000
2026-08-30,스마트스토어,리필 2개입,2,24000,52800
2026-08-30,쿠팡,체험판,1,12000,11880
2026-08-30,네이버 블로그,리필 2개입,2,24000,46560
2026-08-30,쿠팡,체험판,1,56000,55440
2026-08-30,스마트스토어,기본 세트,2,24000,52800
2026-08-30,네이버 블로그,기본 세트,1,56000,54320
2026-08-31,오프라인,기본 세트,3,24000,72000
2026-08-31,네이버 블로그,리필 2개입,1,12000,11640
2026-08-31,오프라인,체험판,2,12000,24000
2026-08-31,인스타 공구,선물 포장,2,12000,24960
2026-09-01,스마트스토어,대용량,1,39000,42900
2026-09-01,쿠팡,기본 세트,3,39000,115830
2026-09-01,오프라인,체험판,1,56000,56000
2026-09-01,스마트스토어,기본 세트,1,12000,13200
2026-09-01,네이버 블로그,대용량,3,24000,69840
2026-09-01,오프라인,체험판,2,39000,78000
2026-09-01,오프라인,체험판,1,56000,56000
2026-09-02,스마트스토어,선물 포장,3,12000,39600
2026-09-02,오프라인,기본 세트,1,12000,12000
2026-09-02,오프라인,체험판,3,39000,117000
2026-09-02,네이버 블로그,기본 세트,2,24000,46560
2026-09-02,인스타 공구,체험판,1,56000,58240
2026-09-02,인스타 공구,선물 포장,3,39000,121680
2026-09-02,오프라인,리필 2개입,2,39000,78000
2026-09-02,네이버 블로그,리필 2개입,3,39000,113490
2026-09-03,인스타 공구,대용량,1,56000,58240
2026-09-03,네이버 블로그,리필 2개입,1,18000,17460
2026-09-03,오프라인,선물 포장,1,12000,12000
2026-09-03,네이버 블로그,리필 2개입,1,39000,37830
2026-09-03,오프라인,선물 포장,1,39000,39000
2026-09-04,쿠팡,대용량,3,24000,71280
2026-09-04,쿠팡,대용량,2,12000,23760
2026-09-04,스마트스토어,선물 포장,3,12000,39600
2026-09-04,네이버 블로그,체험판,2,24000,46560
2026-09-04,쿠팡,기본 세트,3,18000,53460
2026-09-04,오프라인,대용량,1,12000,12000
2026-09-04,네이버 블로그,리필 2개입,1,12000,11640
2026-09-05,오프라인,기본 세트,3,56000,168000
2026-09-05,네이버 블로그,기본 세트,3,18000,52380
2026-09-05,인스타 공구,대용량,2,18000,37440
2026-09-05,스마트스토어,대용량,3,12000,39600
2026-09-05,인스타 공구,리필 2개입,2,24000,49920
2026-09-05,쿠팡,체험판,3,56000,166320
2026-09-05,인스타 공구,대용량,3,18000,56160
2026-09-06,오프라인,대용량,1,39000,39000
2026-09-06,오프라인,리필 2개입,3,12000,36000
2026-09-06,오프라인,체험판,3,56000,168000
2026-09-06,네이버 블로그,대용량,2,18000,34920
2026-09-06,스마트스토어,기본 세트,1,18000,19800
2026-09-06,오프라인,기본 세트,2,56000,112000
2026-09-06,네이버 블로그,선물 포장,3,12000,34920
2026-09-07,쿠팡,기본 세트,1,39000,38610
2026-09-07,네이버 블로그,체험판,2,24000,46560
2026-09-07,오프라인,기본 세트,1,12000,12000
2026-09-07,오프라인,기본 세트,1,56000,56000
2026-09-07,네이버 블로그,리필 2개입,2,18000,34920
2026-09-07,쿠팡,체험판,3,39000,115830
2026-09-08,쿠팡,기본 세트,1,39000,38610
2026-09-08,쿠팡,체험판,2,56000,110880
2026-09-08,인스타 공구,체험판,3,56000,174720
2026-09-08,네이버 블로그,선물 포장,3,39000,113490
2026-09-08,쿠팡,리필 2개입,2,18000,35640
2026-09-08,쿠팡,체험판,2,56000,110880
2026-09-08,오프라인,리필 2개입,2,56000,112000
2026-09-09,쿠팡,기본 세트,3,39000,115830
2026-09-09,스마트스토어,체험판,1,56000,61600
2026-09-09,오프라인,체험판,3,12000,36000
2026-09-09,오프라인,기본 세트,3,18000,54000
2026-09-10,쿠팡,대용량,2,39000,77220
2026-09-10,네이버 블로그,리필 2개입,2,39000,75660
2026-09-10,인스타 공구,선물 포장,2,39000,81120
2026-09-10,쿠팡,선물 포장,1,18000,17820
2026-09-11,쿠팡,기본 세트,2,18000,35640
2026-09-11,스마트스토어,기본 세트,1,18000,19800
2026-09-11,인스타 공구,기본 세트,3,24000,74880
2026-09-11,네이버 블로그,선물 포장,1,56000,54320
2026-09-11,오프라인,기본 세트,2,56000,112000
2026-09-11,스마트스토어,체험판,3,24000,79200
2026-09-11,인스타 공구,체험판,2,12000,24960
2026-09-12,오프라인,체험판,3,18000,54000
2026-09-12,쿠팡,리필 2개입,3,56000,166320
2026-09-12,인스타 공구,체험판,1,56000,58240
2026-09-12,쿠팡,체험판,1,18000,17820
2026-09-12,네이버 블로그,리필 2개입,2,56000,108640
2026-09-12,네이버 블로그,리필 2개입,1,18000,17460
2026-09-12,스마트스토어,리필 2개입,1,18000,19800
2026-09-12,스마트스토어,선물 포장,2,12000,26400
2026-09-12,오프라인,대용량,3,18000,54000
2026-09-12,인스타 공구,대용량,3,12000,37440
2026-09-13,인스타 공구,체험판,3,24000,74880
2026-09-13,네이버 블로그,기본 세트,3,56000,162960
2026-09-13,네이버 블로그,체험판,3,18000,52380
2026-09-13,스마트스토어,대용량,1,12000,13200
2026-09-13,스마트스토어,체험판,3,56000,184800
2026-09-13,쿠팡,대용량,1,18000,17820
2026-09-13,인스타 공구,기본 세트,1,18000,18720
2026-09-14,네이버 블로그,기본 세트,3,12000,34920
2026-09-14,인스타 공구,대용량,1,12000,12480
2026-09-14,네이버 블로그,대용량,2,39000,75660
2026-09-14,쿠팡,선물 포장,2,18000,35640
2026-09-14,쿠팡,선물 포장,1,12000,11880
2026-09-14,인스타 공구,리필 2개입,2,39000,81120
2026-09-14,네이버 블로그,선물 포장,2,18000,34920
2026-09-15,인스타 공구,기본 세트,3,12000,37440
2026-09-15,네이버 블로그,기본 세트,3,39000,113490
2026-09-15,쿠팡,체험판,1,56000,55440
2026-09-15,쿠팡,선물 포장,2,24000,47520
2026-09-15,스마트스토어,리필 2개입,2,18000,39600
2026-09-15,네이버 블로그,체험판,3,24000,69840
2026-09-15,오프라인,리필 2개입,2,18000,36000
2026-09-15,인스타 공구,기본 세트,2,24000,49920
2026-09-15,오프라인,기본 세트,1,24000,24000
2026-09-15,쿠팡,기본 세트,1,24000,23760
2026-09-16,네이버 블로그,리필 2개입,3,39000,113490
2026-09-16,쿠팡,리필 2개입,3,12000,35640
2026-09-16,오프라인,체험판,2,18000,36000
2026-09-16,스마트스토어,대용량,3,12000,39600
2026-09-16,스마트스토어,체험판,1,18000,19800
2026-09-16,네이버 블로그,대용량,2,56000,108640
2026-09-16,스마트스토어,리필 2개입,3,39000,128700
2026-09-16,스마트스토어,기본 세트,2,24000,52800
2026-09-17,네이버 블로그,체험판,3,56000,162960
2026-09-17,오프라인,체험판,3,12000,36000
2026-09-17,오프라인,기본 세트,3,56000,168000
2026-09-17,스마트스토어,대용량,1,39000,42900
2026-09-17,오프라인,리필 2개입,2,56000,112000
2026-09-17,쿠팡,체험판,1,39000,38610
2026-09-17,오프라인,대용량,2,56000,112000
2026-09-17,오프라인,체험판,2,24000,48000
2026-09-18,네이버 블로그,대용량,3,24000,69840
2026-09-18,쿠팡,선물 포장,3,24000,71280
2026-09-18,스마트스토어,기본 세트,1,56000,61600
2026-09-18,스마트스토어,리필 2개입,2,39000,85800
2026-09-18,스마트스토어,선물 포장,3,39000,128700
2026-09-18,스마트스토어,체험판,3,24000,79200
2026-09-18,스마트스토어,리필 2개입,2,39000,85800
2026-09-18,네이버 블로그,리필 2개입,1,56000,54320
2026-09-18,스마트스토어,대용량,1,18000,19800
2026-09-18,쿠팡,기본 세트,1,56000,55440
2026-09-19,오프라인,기본 세트,1,12000,12000
2026-09-19,네이버 블로그,체험판,1,12000,11640
2026-09-19,네이버 블로그,대용량,1,39000,37830
2026-09-19,오프라인,체험판,2,56000,112000
2026-09-19,오프라인,선물 포장,3,56000,168000
2026-09-19,인스타 공구,선물 포장,3,18000,56160
2026-09-19,인스타 공구,대용량,1,56000,58240
2026-09-19,네이버 블로그,체험판,3,24000,69840
2026-09-19,네이버 블로그,선물 포장,3,56000,162960
2026-09-19,쿠팡,리필 2개입,3,24000,71280
2026-09-19,인스타 공구,리필 2개입,1,56000,58240
2026-09-19,인스타 공구,기본 세트,3,12000,37440
2026-09-20,네이버 블로그,선물 포장,2,12000,23280
2026-09-20,쿠팡,기본 세트,1,18000,17820
2026-09-20,쿠팡,선물 포장,1,12000,11880
2026-09-20,인스타 공구,체험판,1,24000,24960
2026-09-20,오프라인,대용량,2,18000,36000
2026-09-20,네이버 블로그,선물 포장,2,18000,34920
2026-09-20,스마트스토어,기본 세트,2,56000,123200
2026-09-20,인스타 공구,대용량,2,24000,49920
2026-09-20,오프라인,리필 2개입,2,18000,36000
